sdg_id,sdg_name,n_works,citations,oa_share
3,Good health and well-being,3293,39330,0.7619192225933799
4,Quality Education,1355,4171,0.9092250922509225
2,Zero hunger,577,4087,0.7001733102253033
5,Gender equality,378,1686,0.8015873015873016
10,Reduced inequalities,312,1706,0.8108974358974359
7,Affordable and clean energy,310,4000,0.5
6,Clean water and sanitation,271,4032,0.6088560885608856
15,Life in Land,254,2297,0.7716535433070866
14,Life below water,227,3373,0.6299559471365639
16,"Peace, Justice and strong institutions",177,1878,0.8813559322033898
1,No poverty,125,2040,0.816
11,Sustainable cities and communities,124,751,0.7741935483870968
8,Decent work and economic growth,92,677,0.8478260869565217
17,Partnerships for the goals,86,1528,0.7674418604651163
12,Responsible consumption and production,72,1359,0.7777777777777778
9,"Industry, innovation and infrastructure",68,772,0.6617647058823529
13,Climate action,57,901,0.7192982456140351
