sdg_id,source,n
1,Revista Enfermagem UERJ,5
1,Revista da Sociedade Brasileira de Medicina Tropical,5
1,PubMed,4
1,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),3
1,Revista Brasileira de Geriatria e Gerontologia,3
1,Revista Latino-Americana de Enfermagem,3
1,Revista da Escola de Enfermagem da USP,3
1,BMC Public Health,2
1,Brazilian Journal of Kinanthropometry and Human Performance,2
1,Ciência Cuidado e Saúde,2
1,Clinical & Translational Oncology,2
1,DOAJ (DOAJ: Directory of Open Access Journals),2
1,Disease Markers,2
1,International Journal of Environmental Research and Public Health,2
1,Rev Rene,2
1,Revista Brasileira de Enfermagem,2
1,Revista Brasileira de Medicina do Trabalho,2
1,Sao Paulo Medical Journal,2
1,Texto & Contexto - Enfermagem,2
1,The Journal of Immunology,2
1,Aging Medicine,1
1,American Journal of Tropical Medicine and Hygiene,1
1,Angiology,1
1,Annals of Clinical Microbiology and Antimicrobials,1
1,Arquivos de Neuro-Psiquiatria,1
1,BMC Health Services Research,1
1,BMC Palliative Care,1
1,Bioorganic & Medicinal Chemistry,1
1,Bioscience Journal,1
1,Brazilian Journal of Motor Behavior,1
1,Brazilian Journal of Physical Therapy,1
1,Cadernos Brasileiros de Terapia Ocupacional ,1
1,Cadernos de Saúde Pública,1
1,Cancer Causes & Control,1
1,Career Development International,1
1,Ciência & Saúde Coletiva,1
1,Clinical Medicine Insights Oncology,1
1,Clinics,1
1,Colombia medica,1
1,Conjecturas,1
1,Elementa Science of the Anthropocene,1
1,Escola Anna Nery,1
1,Familial Cancer,1
1,Family Practice,1
1,Frontiers in Public Health,1
1,Global Journal of Health Science,1
1,Histopathology,1
1,International Journal of Biological Macromolecules,1
1,International Journal of Infectious Diseases,1
1,International Orthopaedics,1
1,Investigación y Educación en Enfermería,1
1,Issues in Mental Health Nursing,1
1,JMIR Rehabilitation and Assistive Technologies,1
1,Journal of Genetic Engineering and Biotechnology,1
1,Journal of Molecular Medicine,1
1,Journal of Perinatal Medicine,1
1,Journal of Prevention,1
1,Minerva Obstetrics and Gynecology,1
1,Multiple Sclerosis and Related Disorders,1
1,O Mundo da Saúde,1
1,Open Journal of Nursing,1
1,Oxford University Press eBooks,1
1,Pathogens,1
1,Psicologia Teoria e Pesquisa,1
1,Redalyc (Universidad Autónoma del Estado de México),1
1,Research Society and Development,1
1,Research Square,1
1,Revista Brasileira de Epidemiologia,1
1,Revista Campo-Território,1
1,Revista Eletrônica de Enfermagem,1
1,Revista Família Ciclos de Vida e Saúde no Contexto Social,1
1,Revista Peruana de Medicina Experimental y Salud Pública,1
1,Revista Triângulo,1
1,Revista da Associação Médica Brasileira,1
1,Revista da SPAGESP,1
1,Revista de Educação Física / Journal of Physical Education,1
1,Revista de Enfermagem UFPE on line,1
1,Revista de Salud Pública,1
1,Revista do Colégio Brasileiro de Cirurgiões,1
1,Revistas de Ciências Jurídicas e Sociais da UNIPAR,1
1,Scientia Generalis,1
1,Sleep Epidemiology,1
1,Sustainability,1
1,The Journal of Comparative Neurology,1
1,The Open Cancer Journal,1
1,Wear,1
1,journal of physical education,1
1,polemica,1
10,Cadernos Brasileiros de Terapia Ocupacional ,10
10,Zenodo (CERN European Organization for Nuclear Research),9
10,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),5
10,VínculorevistadoNesme,5
10,Revista Brasileira de Atividade Física & Saúde,4
10,Revista Brasileira de Ciência e Movimento,4
10,Revista da SPAGESP,4
10,SSRN Electronic Journal,4
10,Cadernos CIMEAC,3
10,Ciência & Saúde Coletiva,3
10,DOAJ (DOAJ: Directory of Open Access Journals),3
10,International Journal of Environmental Research and Public Health,3
10,Jornal Brasileiro de Psiquiatria,3
10,Revista Família Ciclos de Vida e Saúde no Contexto Social,3
10,Revista Latino-Americana de Enfermagem,3
10,Revista de Terapia Ocupacional da Universidade de São Paulo,3
10,Acta Paulista de Enfermagem,2
10,Arquivos de Neuro-Psiquiatria,2
10,Clinical and Vaccine Immunology,2
10,Colloquium Vitae,2
10,Contribuciones a las Ciencias Sociales,2
10,Dialnet (Universidad de la Rioja),2
10,Estudos e Pesquisas em Psicologia,2
10,European Journal of Public Health,2
10,Fractal Revista de Psicologia,2
10,Iniciação & Formação Docente,2
10,Journal of Hand Therapy,2
10,Journal of Physical Activity and Health,2
10,Motriz Revista de Educação Física,2
10,Phenomenology Humanities and Sciences,2
10,Proceeding Series of the Brazilian Society of Computational and Applied Mathematics,2
10,Psico-USF,2
10,Psicologia & Sociedade,2
10,Psicologia Ciência e Profissão,2
10,Psicologia Teoria e Pesquisa,2
10,Psicologia em Revista,2
10,Redalyc (Universidad Autónoma del Estado de México),2
10,Research Society and Development,2
10,Revista Brasileira de Estudos Pedagógicos,2
10,Revista Paulista de Pediatria,2
10,Revista Profissão Docente,2
10,Revista Psicologia Organizações e Trabalho,2
10,Revista SODEBRAS,2
10,Revista Triângulo,2
10,Revista de Enfermagem e Atenção à Saúde,2
10,Topics in Stroke Rehabilitation,2
10,bioRxiv (Cold Spring Harbor Laboratory),2
10,Acta Biologica Brasiliensia.,1
10,Acta Fisiátrica,1
10,Acta Ortopédica Brasileira,1
10,Acta Scientiarum Health Sciences,1
10,Alzheimer s & Dementia,1
10,American Journal of Interdisciplinary Research and Innovation,1
10,Americanae (AECID Library),1
10,Anais da Academia Brasileira de Ciências,1
10,Anais da XIV Conferência Brasileira sobre Qualidade da Energia Elétrica,1
10,Anais do ... Simpósio Brasileiro de Sistemas Elétricos,1
10,Anais do Congresso Brasileiro da Associação Brasileira de Fisioterapia Traumato-Ortopédica - ABRAFITO,1
10,Arquivos Brasileiros de Neurocirurgia Brazilian Neurosurgery,1
10,Arquivos Brasileiros de Oftalmologia,1
10,Arquivos de Ciências do Esporte,1
10,Avances en Psicología Latinoamericana,1
10,BMC Public Health,1
10,Biological Journal of the Linnean Society,1
10,Biomedical Signal Processing and Control,1
10,Biometrics,1
10,Bioscience Journal,1
10,Brazilian Journal of Kinanthropometry and Human Performance,1
