source,issn,n,classe,sinais_curadoria,doaj,scimago,qualis_estilo,apc,retratacoes,citacao_media
Rev Rene,15173852,22,Atenção,0,False,False,False,True,0,6.4
Parasitology Research,00443255,18,Atenção,0,False,False,False,True,0,13.6
Medical Mycology,02681218,12,Atenção,0,False,False,False,True,0,37.1
BioMed Research International,11107243,11,Atenção,0,False,False,False,True,0,42.9
European Journal of Applied Physiology,00209376,10,Atenção,0,False,False,False,True,0,21.5
Psicologia Saúde & Doenças,16450086,9,Atenção,0,False,False,False,True,0,1.0
European Journal of Obstetrics & Gynecology and Reproductive Biology,00282243,5,Atenção,0,False,False,False,True,0,21.0
Journal of Oral Pathology and Medicine,03009777,5,Atenção,0,False,False,False,True,0,21.4
Psicologia e Saúde em Debate,2446922X,5,Atenção,0,False,False,False,True,0,0.0
Mycoses,00275557,4,Atenção,0,False,False,False,True,0,36.8
Revista Enfermagem Atual In Derme,24472034,4,Atenção,0,False,False,False,True,0,1.8
Journal of Chemical Technology & Biotechnology,01420356,3,Atenção,0,False,False,False,True,0,8.3
physica status solidi (a),00318965,3,Atenção,0,False,False,False,True,0,10.0
Anatomia Histologia Embryologia,03008649,2,Atenção,0,False,False,False,True,0,4.0
Biochimie,00379042,2,Atenção,0,False,False,False,True,0,8.5
Computational and Applied Mathematics,01018205,2,Atenção,0,False,False,False,True,0,2.0
Journal of Vibration Engineering & Technologies,23213558,2,Atenção,0,False,False,False,True,0,10.5
Journal of materials research/Pratt's guide to venture capital sources,08841616,2,Atenção,0,False,False,False,True,0,5.5
Neurorehabilitation and neural repair,08884390,2,Atenção,0,False,False,False,True,0,14.0
Plant Foods for Human Nutrition,00335134,2,Atenção,0,False,False,False,True,0,25.0
Research on Biomedical Engineering,15173151,2,Atenção,0,False,False,False,True,0,3.5
The Lancet,00995355,2,Atenção,0,False,False,False,True,0,74.5
American Journal of Reproductive Immunology,02717352,1,Atenção,0,False,False,False,True,0,15.0
Arabian Journal for Science and Engineering,13198025,1,Atenção,0,False,False,False,True,0,1.0
Archives of Virology,00039012,1,Atenção,0,False,False,False,True,0,0.0
Behavior and Social Issues,10649506,1,Atenção,0,False,False,False,True,0,2.0
Biota Amazônia,21795746,1,Atenção,0,False,False,False,True,0,3.0
Cochrane Database of Systematic Reviews,13616137,1,Atenção,0,False,False,False,True,0,1.0
European Journal Of Oral Sciences,0029845X,1,Atenção,0,False,False,False,True,0,68.0
