id,tipo,titulo,autor,lattes,ano,idioma,area_cnpq,palavras_chave,resumo,doi,url
UFTM_ce33cb0871b915aacb5812763db9ec48,Dissertação (mestrado),Abordagem dos profissionais de saúde frente a pacientes tabagistas: uma revisão sistemática,"PEREIRA, Lorena Norte",http://lattes.cnpq.br/0540332601344737,2026,Português,Ciências da Saúde,Tabagismo; Cessação tabágica; Profissionais de saúde; Abordagem; Revisão sistemática; Smoking; Smoking cessation; Health professionals,"Introdução: O tabagismo é reconhecido como uma doença crônica decorrente da dependência à nicotina presente nos produtos que contém tabaco, assim inserida na Classificação Internacional de Doenças (CID 11) da Organização Mundial da Saúde (OMS). Dos fatores de estilo de vida, o tabagismo é o que tem maior associação ao risco de doenças crônicas não transmissíveis. Os profissionais de saúde possuem um papel fundamental para o tratamento do tabagismo, necessitando estarem preparados e ter conhecimento sobre os métodos farmacológicos e não farmacológicos, além do impacto do abandono do tabagismo na qualidade de vida dos indivíduos. Objetivo: O objetivo geral do trabalho é avaliar, por meio de uma revisão sistemática, as abordagens dos profissionais de saúde frente aos pacientes tabagistas e criar um site com as informações encontradas no estudo. Método: A Revisão Sistemática foi estruturada conforme o método PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) e registrada na base internacional PROSPERO (International Prospective Register of Systematic Reviews). A busca de artigos científicos foi realizada nas bases de dados: Scopus, Web of Science, Pubmed e Lilacs. Os descritores foram selecionados utilizando o acrônimo PICO. Foram utilizados os descritores: Tobacco use disorder AND health personnel AND smokers AND smoking cessation AND approach. A busca será realizada com os termos principais e alternativos na língua inglesa. A seleção e gerenciamento dos artigos foram feitos com o auxílio da ferramenta Rayyan. Para a construção do site foi utilizado o HTML (Hypertext Markup Language) sendo a base estrutural do site. Para a estilização, foi utilizado o CSS (Cascading Style Sheets), que permitiu controlar a aparência do site, como cores, tipografias, espaçamentos e responsividade, junto com o CSS para a responsividade, foi adicionada a biblioteca Bootstrap, um framework front-end que ofereceu uma coleção de ferramentas CSS e JavaScript prontas para uso. Por fim, a publicação e hospedagem do site foram realizadas por meio da plataforma Netlify, uma ferramenta de hospedagem contínua que permite publicação. Ao final do estudo, o site será repassado ao Programa de Cessação do Tabagismo do HC/UFTM, para que o mesmo seja atualizado constantemente com informações sobre o tema.",,http://bdtd.uftm.edu.br/handle/123456789/2092
UFTM_535f28abb25da2201bcba8d3ef418385,Dissertação (mestrado),Avaliação da disponibilidade genômica do gênero Fusarium.,"MELO, Nícollas Emanuel Tolentino",http://lattes.cnpq.br/0112302129281471,2026,Português,Ciências Biológicas,Fusarium; Genômica comparativa; Bioinformática; Fatores de virulência; Qualidade de dados; Comparative genomics; Bioinformatics; Virulence factors,"O gênero Fusarium constitui um complexo de fungos filamentosos amplamente distribuídos na natureza, capazes de causar perdas agrícolas e produzir micotoxinas que ameaçam a segurança alimentar humana e animal. Embora a genômica tenha se consolidado como uma ferramenta superior às técnicas clássicas para o estudo desses microrganismos, a expansão acelerada dos depósitos em bancos de dados públicos levanta questionamentos sobre a confiabilidade e representatividade dessas informações. Nesse contexto, o presente trabalho teve como objetivo avaliar o panorama da disponibilidade e qualidade dos recursos genômicos de Fusarium no NCBI, bem como realizar a caracterização funcional de seu potencial patogênico. A análise de 1.923 montagens revelou assimetrias geográficas e taxonômicas, evidenciando a predominância de dados produzidos pelo Norte Global e uma prevalência de dados ligados a espécie F. oxysporum. Além disso, observou-se uma fragilidade técnica no acervo, marcada pela alta fragmentação dos genomas, devido ao uso predominante de tecnologias de leituras curtas. Apesar disso, a análise funcional demonstrou que, mesmo com essas limitações, existe um conjunto central de virulência (core set) altamente conservado no gênero. O mapeamento de genes essenciais para a infecção revelou uma base molecular compartilhada, sugerindo que a versatilidade do fungo se apoia em mecanismos estáveis. Por fim, conclui-se que, embora o banco de dados precise de revisões e de novas tecnologias de sequenciamento, as informações atuais já permitem a identificação de alvos biotecnológicos e o desenvolvimento de estratégias de controle dessas doenças.",,http://bdtd.uftm.edu.br/handle/123456789/2097
UFTM_cc29f42cb983646ef2d39f8286c5a4bf,Dissertação (mestrado),Compras Públicas Sustentáveis: propostas para implementação e os benefícios das compras compartilhadas em uma autarquia municipal,"BORGES, Ana Cláudia da Silva",http://lattes.cnpq.br/2113819640313749,2026,Português,Ciências Sociais Aplicadas,Licitação pública; Compras governamentais; Sustentabilidade; Administração pública; Lei nº 14.133/2021; Public procurement; Government purchasing; Sustainability,"A presente dissertação analisa as práticas de licitação e compras públicas de uma autarquia municipal do interior de MG, tomando-a como estudo de caso, com ênfase na transição para o novo marco regulatório instituído pela Lei nº 14.133/2021. O objetivo geral consistiu em avaliar a incorporação de critérios de sustentabilidade nas contratações públicas da autarquia, bem como identificar o potencial de implementação de compras compartilhadas, como estratégia de eficiência. A metodologia adotada baseou-se em pesquisa documental, de natureza qualitativa e caráter descritivo, a partir da análise de dados do Portal do Cidadão da autarquia, com foco nos pregões eletrônicos realizados e homologados, na modalidade de registro de preços, nos anos de 2023 e 2024. Os resultados evidenciam maturidade procedimental na condução dos certames da autarquia, porém revelam baixa inserção de critérios socioambientais e ausência de estratégias de compras compartilhadas. Conclui-se que a institucionalização de uma política de sustentabilidade, aliada à capacitação contínua dos servidores, é essencial para o aprimoramento das contratações públicas e para a promoção do desenvolvimento sustentável local. Além disso, este estudo, pode ser últil para estudos comparativos futuros, bem como ser a base para estudos que possam analisar outras autarquias de Minas Gerais e do Brasil.",,http://bdtd.uftm.edu.br/handle/123456789/2089
UFTM_2163c62703e2031cfb0dddaafccbc3c5,Dissertação (mestrado),Construção e validação do “Guia de orientações para a prática da inovação aberta no Brasil”,"FERNANDES, Renata Cardoso",http://lattes.cnpq.br/8711102864163534,2026,Português,Ciências Sociais Aplicadas,Parcerias; Gestão da inovação; Empreendedorismo; Regulação; Estratégia; Ecossistema de inovação; Partnerships; Innovation management,"Esta pesquisa analisa as diferentes formas de interação possíveis entre os atores da inovação no Brasil, abrangendo relações entre o setor público e o setor privado, bem como interações no âmbito do próprio setor produtivo. O contexto envolve a Inovação Aberta e as legislações vigentes, como o Marco Legal da Inovação, o Marco Legal das Startups e a Lei de Licitações e, como resultado, foi desenvolvido um guia didático e multidisciplinar, concebido como um produto tecnológico. A pesquisa se justifica pela necessidade de democratizar informações relacionadas à parcerias para inovação, uma vez que o desconhecimento das oportunidades previstas em lei e o receio em relação à burocracia constituem fatores que impedem a formalização de parcerias, especialmente entre empreendedores, startups e pequenas e médias empresas e sociedade civil, que frequentemente carecem de clareza sobre critérios técnicos, estratégicos e normativos para o desenvolvimento de iniciativas colaborativas. O objetivo principal consistiu em construir e validar um guia de orientações conceituais e práticas que fornecesse informações claras e aplicáveis sobre o planejamento, a estruturação e a execução de parcerias de Inovação Aberta entre os atores das hélices de inovação, tanto em interações público-privadas quanto privadas-privadas, tornando mais acessível o ambiente regulatório, organizacional e estratégico da Inovação Aberta no Brasil. A metodologia adotada foi de natureza aplicada, com abordagem de natureza qualitativo-quantitativa, desenvolvida por meio de levantamento documental, consolidação de conceitos relevantes à inovação, análise das legislações pertinentes e incorporação de exemplos reais, culminando na elaboração do guia. A validação do produto ocorreu por meio da aplicação de questionário a especialistas da área, permitindo análise quantitativa e qualitativa. Os resultados indicaram que o material contribui para ampliar a compreensão sobre Inovação Aberta, reduzir inseguranças percebidas e estimular a busca pela formação de parcerias. Conclui-se que o guia constitui um recurso acessível e integrado, ao articular conhecimentos da administração, inovação, empreendedorismo e direito, favorecendo a promoção de parcerias colaborativas e inovadoras no país.",,http://bdtd.uftm.edu.br/handle/123456789/2100
UFTM_0cecf0623045a65fec496db64ec9f7a9,Dissertação (mestrado),A computação no Ensino Fundamental da Rede Municipal de Ensino de Uberaba/MG: implantação e implementação,"CARDOSO JUNIOR, Carlos Henrique",http://lattes.cnpq.br/7486731066443191,2025,Português,Ciências Exatas e da Terra,Ensino de computação; Políticas públicas educacionais; Infraestrutura escolar; Formação docente; Currículo municipal; Computing education; Educational public policies; School infrastructure,"Esta dissertação, contextualizada no Programa de Pós-Graduação em Educação em Ciências e Matemática, Linha de Pesquisa: Currículo, Docência e espaços de formação para a Educação em Ciências e Matemática – Mestrado Acadêmico, da Universidade Federal do Triângulo Mineiro (UFTM), integra o Projeto de Pesquisa “Ensino Superior e Escola Básica em Rede Colaborativa: a formação de professores em pauta”, financiado pela Fundação de Amparo à Pesquisa do Estado de Minas Gerais (FAPEMIG) junto ao Grupo de Estudo e Pesquisa em Educação e Cultura (GEPEDUC) e a Rede de Pesquisa da Profissão Docente (REPPOD). Tem como tema central a análise da implantação e implementação do ensino de computação nas escolas de ensino fundamental da Rede Municipal de Ensino (RME) de Uberaba/MG, com o objetivo geral de compreender como esse processo tem ocorrido no contexto local. O estudo discute as políticas públicas nacionais voltadas à informática na educação, identifica os desafios relacionados à infraestrutura, formação docente e curricularização, e investiga o histórico de inserção das tecnologias educacionais no município entre 2008 e 2023. Adotou-se uma abordagem qualitativa, de caráter descritivo e exploratório, com base em levantamento bibliográfico, documental e de campo, e análise por triangulação de dados. Os resultados revelaram que, embora Uberaba tenha se antecipado à regulamentação nacional ao incluir o ensino de computação em sua matriz curricular e contar com professores licenciados na área, persistem desafios significativos, como desigualdades na infraestrutura entre as escolas, ausência de regulamentação obrigatória, escassez de materiais didáticos e fragilidade na formação continuada. Conclui-se que a efetiva implementação do ensino de computação requer investimentos estruturais, regulamentações claras e políticas públicas que garantam equidade no acesso à educação digital, além de abrir caminhos para futuras pesquisas que aprofundem a análise da prática docente, da integração curricular e dos impactos dessa política educacional no desenvolvimento dos estudantes.",,http://bdtd.uftm.edu.br/handle/123456789/2078
UFTM_826de35493e9954d968499d157a72429,Dissertação (mestrado),A era da consensualidade na administração pública: a transação tributária como instrumento de governança voltado à redução da litigiosidade e à eficiência arrecadatória,"GUIMARAES, Gustavo de Queiroz",http://lattes.cnpq.br/2435400598961237,2025,Português,Ciências Sociais Aplicadas,Administração Pública; Governança pública; Administração Pública consensual; Consensualidade administrativa; Transação tributária; Public Administration; Public governance; Consensual Public Administration,"A pesquisa investiga a transação tributária como instrumento de governança na Administração Pública, voltado à redução da litigiosidade e à eficiência arrecadatória. A questão central é compreender como esse mecanismo pode mitigar o excesso de litígios fiscais e aprimorar a arrecadação tributária, considerando a evolução na atuação da Administração Pública Tributária, na superação ao tradicional modelo puramente adversarial e impositivo, para uma abordagem mais dialógica e consensual, que favorece a historicamente conturbada relação entre Fisco e contribuintes. Metodologicamente, trata-se de uma pesquisa exploratória e descritiva, com abordagem qualitativa e quantitativa, a partir da análise teórica e doutrinária e das normativas existentes acerca da transação tributária no âmbito da União, além da análise de dados empíricos, incluindo estatísticas sobre a litigiosidade fiscal e a efetividade das transações tributárias realizadas pela União entre 2020 e 2024, que dão suporte às conclusões do presente estudo. Os resultados indicam que a transação tributária contribui significativamente para a recuperação de créditos fiscais e a redução do volume de litígios no Poder Judiciário. Isto porque, a partir de um estudo analítico dos dados oficiais obtidos, observou-se um crescimento expressivo na arrecadação por meio de transações tributárias no âmbito da União e uma correlação com a redução de processos judiciais de execução fiscal no mesmo cenário amostral, evidenciando a efetividade de tal mecanismo na gestão da litigância, na modernização da atividade de arrecadação e na promoção de um ambiente mais colaborativo entre o Estado e os contribuintes. Conclui-se que a transação tributária, ao alinhar-se aos princípios da governança pública, contribui para a eficiência econômica da arrecadação fiscal, promove a redução de litígios judiciais e fortalece a legitimidade das decisões estatais, em um ambiente de integração da participação do cidadão, sem comprometer os princípios da administração, em especial, o da legalidade, impessoalidade e indisponibilidade do interesse público.",,http://bdtd.uftm.edu.br/handle/123456789/2061
UFTM_d786ef23639d8fe0b2f3dfe060fece59,Dissertação (mestrado),A prática como componente curricular: uma disciplina de educação inclusiva na formação inicial dos licenciados em Matemática,"SANTOS, Alda Cristina Carreira",http://lattes.cnpq.br/4673222686343761,2025,Português,Ciências Humanas,Formação de professores; Educação Matemática; Educação inclusiva; Práticas de ensino; Teacher training; Mathematics education; Inclusive education; Teaching practices,"Nesta investigação, buscamos analisar as contribuições para a formação inicial de futuros professores ao cursarem uma disciplina de Prática como Componente Curricular (PCC) intitulada Inclusão e Educação Matemática. Os sujeitos participantes da pesquisa foram alunos licenciandos em Matemática de uma Universidade Federal do Triângulo Mineiro. O componente curricular aborda, de forma interdisciplinar, o ensino da Educação Matemática em ambientes inclusivos. Apresentando uma pesquisa qualitativa, os dados foram constituídos por meio de dois questionários respondidos pelos participantes, de observações das aulas, das atividades realizadas pelos discentes e do diário de campo da pesquisadora. Para direcionar a análise dos dados, buscamos novas compreensões destacando a importância da constituição de informações para que no final possamos compreender estes dados. Para que assim possamos responder a indagação: Que compreensões e contribuições podemos destacar acerca da formação inicial de Professores de Matemática ao cursarem uma disciplina de Prática Como Componente Curricular sobre Educação Inclusiva? Por fim, ressalta-se que a incorporação de futuros professores em vivências inclusivas, em disciplinas como esta, possibilitará inovações em seus trabalhos dentro da sala de aula. Vivenciar os três momentos da PCC ofereceu aos futuros professores a oportunidade de desenvolver a autonomia na construção do conhecimento, incentivando uma postura reflexiva e investigativa ao longo das atividades.",,http://bdtd.uftm.edu.br/handle/123456789/2022
UFTM_d05e09537bc36d353aadf92062618f81,Dissertação (mestrado),Acordo de não persecução disciplinar: uma nova estratégia aos processos administrativos,"PEREIRA, Felipe Augusto Nascimento",http://lattes.cnpq.br/6845344366843947,2025,Português,Ciências Sociais Aplicadas,Administração Pública; Poder disciplinar; Processo disciplinar; Consensualidade; Acordo de não persecução disciplinar; Public Administration; Disciplinary power; Disciplinary process,"Este trabalho abordou o tema do acordo de não persecução disciplinar, um mecanismo ainda pouco explorado na literatura acadêmica. A pesquisa consistiu na análise documental de normas que regulamentam acordos de não persecução disciplinar ou mecanismos similares, bem como normas e bibliografia sobre acordos de não persecução penal, civil e outros mecanismos consensuais de resolução de conflitos. O objetivo foi identificar características aplicáveis ao acordo de não persecução disciplinar. Com base nessa análise e na regulamentação do Município de Uberaba, foram identificadas as características fundamentais do acordo de não persecução disciplinar, adaptadas ao Poder Executivo Municipal de Uberaba. Além das características essenciais, foram identificados princípios aplicáveis a esse acordo. Ao final, foi sugerida uma minuta de regulamentação do acordo de não persecução disciplinar para o Poder Executivo Municipal de Uberaba. A pesquisa enfrentou limitações devido à ausência de materiais bibliográficos específicos sobre o tema e à falta de adoção do acordo de não persecução disciplinar por outros municípios, o que dificultou a comparação. Como contribuição, foram delineadas as características essenciais do instituto e seus princípios. Sugere-se, para pesquisas futuras, o aprofundamento na temática do acordo de não persecução disciplinar e a análise da eficiência do instituto, caso adotado pelo Município de Uberaba.",,http://bdtd.uftm.edu.br/handle/123456789/2034
UFTM_8d777e47b9bd6270f2d022ba559d7208,Dissertação (mestrado),Análise do Processo de Formalização da Contratualização no SUS em um Município do Triângulo Mineiro,"MINGUIM, Lorrayne Palhares",http://lattes.cnpq.br/4512604381820974,2025,Português,Ciências Sociais Aplicadas,Sistema Único de Saúde; Hospitais; Municípios; Contratualização; Relatos de casos; Unified Health System; Hospitals; Municipalities,"O presente trabalho teve como objetivo analisar a formalização do processo, os setores envolvidos e os instrumentos formais de contratualização do Sistema Único de Saúde celebrados entre os Hospitais e o município de Uberaba, em consonância com as normativas legais aplicáveis. Trata-se de estudo decorrente de pesquisa qualitativa, com busca ativa nos termos dos instrumentos formais de contratualização hospitalar, bem como, informações disponíveis no Cadastro Nacional de Estabelecimentos de Saúde - CNES, sítio eletrônico da Prefeitura Municipal de Uberaba e outros registros relevantes relacionados à contratualização no âmbito do SUS, no período de julho a novembro de 2024. Foi utilizada a metodologia de estudo de caso baseada no cientista social Robert K. Yin, no qual idealizou-se um protocolo para a condução da análise das contratualizações hospitalares do SUS vigentes no município de Uberaba. Os resultados numéricos foram organizados em tabelas e gráficos descritivos, de acordo com o conteúdo analisado, e os nomes dos hospitais foram identificados por códigos alfanuméricos (H1, H2). A pesquisa também incluiu a análise de portarias e decretos municipais, além da consulta a comissões relacionadas ao processo de contratualização hospitalar. O projeto foi aprovado pelo Comitê de Ética em Pesquisa da Universidade Federal do Triângulo Mineiro (CEP/UFTM). A partir dos resultados obtidos, foi possível verificar contratualizações do Sistema Único de Saúde, em vigor, com sete hospitais no Município. Constatou-se que a Secretaria Municipal de Saúde (SMS) de Uberaba realiza o intermédio na formalização da contratualização no SUS entre o Município e os Hospitais, por meio da Diretoria de Regulação. Neste estudo, foi possível visualizar que a maior parte da rede de hospitais contratualizados no município são constituídos de entidades privadas, sem fins lucrativos por meio de termos formais (contratos/convênios). Averiguou-se uma maior cautela quanto a vigência dos termos formais do que dos documentos descritivos. No financiamento hospitalar, há a predominância da orçamentação parcial, constituídas, em sua maioria, de verbas pré-fixadas, sendo 70% dos recursos subsidiados pela União. Observou-se, também, que o instrumento de contratualização hospitalar que atendeu plenamente todos os itens previstos nas normativas aplicáveis, foi o instrumento mais recente celebrado pelo Município de Uberaba. Neste sentido, é preciso melhorar as práticas de gestão da contratualização, diminuindo os riscos de interrupção dos serviços hospitalares e garantindo que não ocorra desassistência à população. Contudo, foi verificado no município, um aperfeiçoamento contínuo nos instrumentos formais de contratualização, indicando um desenvolvimento no planejamento desses instrumentos.",,http://bdtd.uftm.edu.br/handle/123456789/2083
UFTM_b92a47476ba498cc0430da5eca0507e0,Dissertação (mestrado),"Areno complexos de rutênio contendo ligantes derivados de hidrazidas: síntese, caracterização e estudo da estabilidade","FREITAS, Leandro Barbosa de",http://lattes.cnpq.br/3881913227730460,2025,Português,Ciências Exatas e da Terra,Complexos de RuII; Tiossemicarbazidas; Semicarbazonas; Organometálicos; RuII complexes; Thiosemicarbazides; Semicarbazones; Organometallics,"Um grande número de compostos de coordenação tem sido estudado nas últimas décadas com o objetivo de desenvolver fármacos mais eficazes para tratamento diversas doenças. Entre estes, os compostos de rutênio (II) são de grande interesse devido a sua capacidade de participação em reações redox capazes de promover a geração de espécies reativas de oxigênio (ROS) em meio biológico, prejudiciais aos agentes biológicos patogênicos. Entretanto, a estabilidade dos complexos é um ponto fundamental para sua utilização como um possível fármaco. Neste sentido, o presente trabalho visou desenvolver novos complexos de organometálicos de rutênio com potencial uso medicinal baseados areno-complexos de rutênio contendo ligantes derivados de hidrazidas e estudar sua estabilidade. Inicialmente, foi sintetizada uma série de três complexos, utilizando como precursor o complexo [{RuCl2(η6-p-cym)}2] e os ligantes tiossemicarbazidas HLR (R = alil, fenil e fluorofenil), formando complexos de composição [RuCl(η6-p-cym)(HLR)]PF6. Os complexos obtidos foram caracterizados por espectroscopia eletrônica, espectroscopia vibracional, análise elementar, ESI-MS, RMN de 1H e tiveram sua estrutura molecular otimizada por cálculos computacionais (DFT). Entretanto, as medidas de UV-Vis e de RMN de 1H indicaram a instabilidade dos complexos em solução, concluindo-se que havia a necessidade de preparação de novos precursores para obtenção de complexos mais estáveis. Deste modo, foram usados os precursores [RuCl(η6-p-cym)(bipy)]PF6 e [RuCl(η6-p-cym)(o-phen)]PF6 para preparação de duas novas séries de complexos de composição [Ru(η6-p-cym)(bipy)(HLR)]PF6 e [Ru(η6-p-cym)(o-phen)(HLR)]PF6. As caracterizações realizadas, porém, mostraram que, mesmo contendo o ligante N-heterocíclico, os derivados das tiossemicarbazidas não apresentaram estabilidade em solução. Por fim, foi preparado um complexo a partir do ligante 2-(di(piridin-2-il)metileno)-N-fenilhidrazinacarboxamida (HDPKPhS), um ligante da classe das semicarbazonas. As caracterizações indicaram a formação de um complexo de composição [RuCl(η6-p-cym)(HDPKPhS)]PF6, onde o ligante atua em modo de coordenação N,N-bidentado. De fato, o novo modo de coordenação melhorou significativamente a estabilidade do complexo em solução. Deste modo, foi possível concluir que areno-complexos de rutênio com ligantes semelhantes aos HDPKPhS são compostos promissores para serem avaliados em estudos biológicos.",,http://bdtd.uftm.edu.br/handle/123456789/2058
