sigla,instituicao,ror,works,citacoes,h_index,i10,mean_citedness,oa_share,top10_share,top1_share,intl_share,nac_share,inst_share,cit_por_trabalho
UFTM,Universidade Federal do Triângulo Mineiro,01av3m334,13015,253426,126,6865,0.933,0.7782,0.1024,0.0069,0.2015,0.5575,0.241,19.47
UFMG,Universidade Federal de Minas Gerais,0176yjw32,142141,5883499,495,123059,1.774,0.6411,0.164,0.0137,0.2765,0.4657,0.2578,41.39
UFU,Universidade Federal de Uberlândia,04x3wvr31,50295,1111974,226,27579,1.312,0.6932,0.1236,0.0082,0.2234,0.4515,0.3251,22.11
UFV,Universidade Federal de Viçosa,0409dgb37,57953,2078232,303,51728,1.677,0.7161,0.1545,0.0107,0.2442,0.5707,0.1851,35.86
UFJF,Universidade Federal de Juiz de Fora,04yqw9c44,40340,1060515,276,21510,1.213,0.7101,0.1465,0.0184,0.2407,0.4676,0.2917,26.29
UFSJ,Federal University of São João del-Rei,03vrj4p82,15254,401058,208,8557,1.243,0.6966,0.1762,0.0309,0.2336,0.562,0.2044,26.29
UFOP,Universidade Federal de Ouro Preto,056s65p46,21258,489288,184,11595,1.336,0.7073,0.14,0.0087,0.2567,0.5031,0.2402,23.02
UFLA,Universidade Federal de Lavras,0122bmm03,34119,1115650,213,28952,1.6,0.7301,0.1556,0.0112,0.2457,0.5891,0.1653,32.7
UFVJM,Universidade Federal dos Vales do Jequitinhonha e Mucuri,02gen2282,12583,236816,121,6637,0.989,0.7544,0.1209,0.0061,0.2082,0.589,0.2027,18.82
UNIFAL,Universidade Federal de Alfenas,034vpja60,11419,259472,127,7029,1.332,0.7233,0.1337,0.0068,0.2896,0.5181,0.1923,22.72
UNIFEI,Universidade Federal de Itajubá,00235nr42,11005,267540,162,6095,1.85,0.5514,0.1283,0.0118,0.2584,0.4893,0.2522,24.31
