sigla,year,works,citacoes
UFTM,2026,704,74
UFTM,2025,1128,1044
UFTM,2024,1175,1812
UFTM,2023,1224,2479
UFTM,2022,1105,4782
UFTM,2021,1000,5697
UFTM,2020,1036,6891
UFTM,2019,887,7265
UFTM,2018,728,7616
UFTM,2017,777,8405
UFTM,2016,576,6192
UFTM,2015,589,7849
UFTM,2014,442,5576
UFTM,2013,448,6317
UFTM,2012,408,4886
UFTM,2011,298,5665
UFTM,2010,214,3444
UFMG,2026,6301,1034
UFMG,2025,10274,13337
UFMG,2024,10598,27573
UFMG,2023,9698,43227
UFMG,2022,9040,63977
UFMG,2021,9405,94410
UFMG,2020,9335,177399
UFMG,2019,7844,124593
UFMG,2018,7497,114450
UFMG,2017,7222,122891
UFMG,2016,6552,125727
UFMG,2015,5997,113326
UFMG,2014,5500,120076
UFMG,2013,5081,93737
UFMG,2012,4518,90184
UFMG,2011,4048,98925
UFMG,2010,3330,84577
UFU,2026,2458,264
UFU,2025,4107,3744
UFU,2024,4128,8615
UFU,2023,3647,14056
UFU,2022,3306,19086
UFU,2021,3688,29183
UFU,2020,3788,31840
UFU,2019,3636,30644
UFU,2018,2859,27827
UFU,2017,2808,29206
UFU,2016,2461,26842
UFU,2015,2452,23106
UFU,2014,2245,22039
UFU,2013,1880,21557
UFU,2012,1607,18216
UFU,2011,1456,18121
UFU,2010,1026,17340
UFV,2027,2,0
UFV,2026,2520,426
UFV,2025,4263,4553
UFV,2024,4762,11099
UFV,2023,5079,19482
UFV,2022,4244,23547
UFV,2021,3853,37222
UFV,2020,3940,46389
UFV,2019,3102,42922
UFV,2018,3072,44486
UFV,2017,2937,43984
UFV,2016,2721,42996
UFV,2015,2396,47196
UFV,2014,2293,35507
UFV,2013,2002,38135
UFV,2012,1853,38191
UFV,2011,1711,31220
UFV,2010,1455,25355
UFJF,2026,2014,361
UFJF,2025,3419,4939
UFJF,2024,3977,6704
UFJF,2023,3139,12342
UFJF,2022,2736,14413
UFJF,2021,3350,26150
UFJF,2020,3380,29350
UFJF,2019,4153,31029
UFJF,2018,2261,28550
UFJF,2017,1972,32311
UFJF,2016,1779,27797
UFJF,2015,1772,28674
UFJF,2014,1449,24891
UFJF,2013,1197,21038
UFJF,2012,1120,29907
UFJF,2011,876,12944
UFJF,2010,665,9418
UFSJ,2026,502,37
UFSJ,2025,928,695
UFSJ,2024,1131,2704
UFSJ,2023,1228,4695
UFSJ,2022,1251,7202
UFSJ,2021,1315,12507
UFSJ,2020,1325,17349
UFSJ,2019,1167,16166
UFSJ,2018,1115,19845
UFSJ,2017,902,18851
UFSJ,2016,832,17171
UFSJ,2015,811,20022
UFSJ,2014,693,15967
UFSJ,2013,645,12845
UFSJ,2012,537,25260
UFSJ,2011,366,6659
UFSJ,2010,236,4570
UFOP,2026,1056,169
UFOP,2025,1839,2195
UFOP,2024,1903,3665
UFOP,2023,1813,7220
UFOP,2022,1716,7709
UFOP,2021,2048,16365
UFOP,2020,1745,16264
UFOP,2019,1330,12118
UFOP,2018,1138,11585
UFOP,2017,1194,15197
UFOP,2016,870,11942
UFOP,2015,792,13502
UFOP,2014,727,9908
UFOP,2013,662,9255
UFOP,2012,594,12092
UFOP,2011,438,8808
UFOP,2010,360,6108
UFLA,2026,1821,240
UFLA,2025,2923,3344
UFLA,2024,2595,7143
UFLA,2023,2484,11051
UFLA,2022,2264,16378
UFLA,2021,2479,24599
UFLA,2020,2679,29539
UFLA,2019,2182,33534
UFLA,2018,1846,25345
UFLA,2017,1689,28120
UFLA,2016,1537,25354
UFLA,2015,1427,20938
UFLA,2014,1316,22553
UFLA,2013,1188,19355
UFLA,2012,1088,18402
UFLA,2011,1035,25405
UFLA,2010,804,15618
UFVJM,2026,799,137
UFVJM,2025,1291,1249
UFVJM,2024,1374,2403
UFVJM,2023,1155,4164
UFVJM,2022,969,5013
UFVJM,2021,1132,8579
UFVJM,2020,1185,10103
UFVJM,2019,903,10132
UFVJM,2018,698,7659
UFVJM,2017,677,8343
UFVJM,2016,561,7240
UFVJM,2015,518,6505
UFVJM,2014,424,4672
UFVJM,2013,397,5200
UFVJM,2012,344,6436
UFVJM,2011,286,3825
UFVJM,2010,174,3189
UNIFAL,2026,736,128
UNIFAL,2025,1129,1135
UNIFAL,2024,1083,2705
UNIFAL,2023,985,3455
UNIFAL,2022,1019,5960
UNIFAL,2021,1029,8586
UNIFAL,2020,869,11808
UNIFAL,2019,660,8616
UNIFAL,2018,613,8043
UNIFAL,2017,629,7349
UNIFAL,2016,523,6677
UNIFAL,2015,532,6725
UNIFAL,2014,464,5907
UNIFAL,2013,367,4905
UNIFAL,2012,295,4584
UNIFAL,2011,262,5781
UNIFAL,2010,207,4257
UNIFEI,2026,515,186
UNIFEI,2025,933,2148
UNIFEI,2024,937,2804
UNIFEI,2023,892,4859
UNIFEI,2022,810,5823
UNIFEI,2021,956,9114
UNIFEI,2020,831,9131
UNIFEI,2019,799,9457
UNIFEI,2018,690,8879
UNIFEI,2017,571,8389
UNIFEI,2016,527,7386
UNIFEI,2015,457,5245
UNIFEI,2014,397,6234
UNIFEI,2013,315,6056
UNIFEI,2012,281,3950
UNIFEI,2011,262,4298
UNIFEI,2010,211,3554
