sigla,year,works,citacoes
UFTM,2026,413,33
UFTM,2025,973,839
UFTM,2024,1074,1626
UFTM,2023,1162,2331
UFTM,2022,1096,4208
UFTM,2021,1003,5493
UFTM,2020,1029,6710
UFTM,2019,878,7135
UFTM,2018,725,7487
UFTM,2017,762,8157
UFTM,2016,570,5833
UFTM,2015,578,7662
UFTM,2014,431,5341
UFTM,2013,443,6273
UFTM,2012,404,4854
UFTM,2011,296,5593
UFTM,2010,214,3425
UFERSA,2026,424,29
UFERSA,2025,996,611
UFERSA,2024,1108,1718
UFERSA,2023,1139,3348
UFERSA,2022,909,3592
UFERSA,2021,943,4371
UFERSA,2020,1155,6896
UFERSA,2019,849,5801
UFERSA,2018,887,5594
UFERSA,2017,652,5258
UFERSA,2016,608,4226
UFERSA,2015,616,4338
UFERSA,2014,513,3716
UFERSA,2013,473,4200
UFERSA,2012,391,4032
UFERSA,2011,340,3176
UFERSA,2010,304,4789
UNIR,2026,508,13
UNIR,2025,1211,618
UNIR,2024,1433,1936
UNIR,2023,1347,3122
UNIR,2022,1197,3711
UNIR,2021,1435,4162
UNIR,2020,1297,5487
UNIR,2019,814,3881
UNIR,2018,744,2782
UNIR,2017,635,4030
UNIR,2016,421,3420
UNIR,2015,367,2848
UNIR,2014,352,3016
UNIR,2013,217,2183
UNIR,2012,221,2481
UNIR,2011,202,1693
UNIR,2010,160,1436
UFGD,2026,366,15
UFGD,2025,907,723
UFGD,2024,1425,2312
UFGD,2023,1061,2120
UFGD,2022,1029,3678
UFGD,2021,1171,6132
UFGD,2020,1136,8336
UFGD,2019,938,7437
UFGD,2018,886,7692
UFGD,2017,845,7361
UFGD,2016,759,5748
UFGD,2015,653,4854
UFGD,2014,576,5360
UFGD,2013,464,3753
UFGD,2012,435,3317
UFGD,2011,297,3281
UFGD,2010,194,2763
UNIPAMPA,2033,2,0
UNIPAMPA,2026,557,62
UNIPAMPA,2025,1176,609
UNIPAMPA,2024,1263,1683
UNIPAMPA,2023,1199,2497
UNIPAMPA,2022,1120,3578
UNIPAMPA,2021,1316,5893
UNIPAMPA,2020,1353,8177
UNIPAMPA,2019,1101,8730
UNIPAMPA,2018,1024,8339
UNIPAMPA,2017,898,7949
UNIPAMPA,2016,844,7240
UNIPAMPA,2015,787,7057
UNIPAMPA,2014,640,7809
UNIPAMPA,2013,486,5423
UNIPAMPA,2012,489,6145
UNIPAMPA,2011,273,4083
UNIPAMPA,2010,208,4335
UFCSPA,2026,385,59
UFCSPA,2025,957,1065
UFCSPA,2024,900,2590
UFCSPA,2023,834,3989
UFCSPA,2022,759,5063
UFCSPA,2021,862,8953
UFCSPA,2020,794,12802
UFCSPA,2019,720,13468
UFCSPA,2018,606,8765
UFCSPA,2017,585,10380
UFCSPA,2016,519,10780
UFCSPA,2015,531,8965
UFCSPA,2014,498,9202
UFCSPA,2013,407,8153
UFCSPA,2012,358,6705
UFCSPA,2011,242,5718
UFCSPA,2010,238,7071
UNIVASF,2026,493,63
UNIVASF,2025,1034,547
UNIVASF,2024,1115,1320
UNIVASF,2023,955,2125
UNIVASF,2022,845,3882
UNIVASF,2021,858,4885
UNIVASF,2020,930,7429
UNIVASF,2019,805,6262
UNIVASF,2018,629,6021
UNIVASF,2017,626,5435
UNIVASF,2016,504,4964
UNIVASF,2015,378,3633
UNIVASF,2014,381,4386
UNIVASF,2013,223,2792
UNIVASF,2012,225,2929
UNIVASF,2011,180,2443
UNIVASF,2010,130,2112
UFRB,2026,382,18
UFRB,2025,968,350
UFRB,2024,926,1194
UFRB,2023,937,1929
UFRB,2022,858,3116
UFRB,2021,930,4005
UFRB,2020,923,6047
UFRB,2019,691,6000
UFRB,2018,696,5587
UFRB,2017,584,4667
UFRB,2016,503,3576
UFRB,2015,417,4642
UFRB,2014,392,3209
UFRB,2013,277,2875
UFRB,2012,255,3030
UFRB,2011,212,2457
UFRB,2010,171,2822
UFFS,2026,403,26
UFFS,2025,779,502
UFFS,2024,1013,1310
UFFS,2023,926,1893
UFFS,2022,885,3549
UFFS,2021,984,6281
UFFS,2020,1113,6163
UFFS,2019,874,4718
UFFS,2018,637,5142
UFFS,2017,567,4631
UFFS,2016,505,3942
UFFS,2015,427,3574
UFFS,2014,313,2020
UFFS,2013,252,1885
UFFS,2012,192,2062
UFFS,2011,93,2083
UFFS,2010,35,315
UFRA,2026,342,69
UFRA,2025,774,598
UFRA,2024,751,1425
UFRA,2023,851,2372
UFRA,2022,744,3299
UFRA,2021,907,4733
UFRA,2020,889,7870
UFRA,2019,582,5073
UFRA,2018,548,5009
UFRA,2017,371,3177
UFRA,2016,401,3192
UFRA,2015,255,3213
UFRA,2014,228,2409
UFRA,2013,205,3466
UFRA,2012,172,2935
UFRA,2011,131,1648
UFRA,2010,81,996
