issn_l,citescore_analogo
0002-9955,9.05
0003-6951,3.9
0003-2700,6.94
0002-9378,2.01
0003-3022,2.64
0003-2697,3.43
0002-9505,0.88
0002-8614,2.51
0002-1962,1.89
0003-9993,0.89
0002-9637,1.71
0003-9128,3.1
0001-1541,3.94
0001-6489,0.92
0003-9012,1.92
0003-4916,2.44
0001-5172,1.88
0001-6314,0.58
0003-9969,2.22
0003-2719,2.09
0003-4746,1.68
0002-9440,3.63
0003-682X,5.15
0003-3197,1.61
0001-706X,2.47
0003-9985,2.42
0003-4983,0.0
0001-2815,0.0
0001-3765,1.23
0004-2749,0.7
0001-5547,1.2
0002-5232,0.24
0004-2730,0.0
0003-4649,6.07
0002-7014,0.9
0004-2803,1.12
0003-4509,1.43
0003-455X,0.87
0004-2773,0.07
0002-5216,0.07
0006-4971,1.47
0009-7322,2.39
0006-291X,2.6
0006-3495,0.5
0006-2960,2.66
0009-2614,2.86
0006-8993,3.38
0009-2673,3.53
0008-6223,11.71
0009-7330,5.58
0007-1048,2.62
0007-0920,6.55
0007-1188,4.8
0005-2736,2.55
0007-1145,2.31
0008-6363,4.85
0009-2541,3.22
0008-4034,2.37
0008-8749,3.12
0008-4166,2.76
0004-282X,0.22
0008-4212,2.31
0009-9120,1.93
0009-2797,4.89
0006-341X,1.35
0009-9163,1.98
0009-9104,4.06
0006-3185,0.4
0009-3084,2.25
0008-6312,1.3
0004-5241,1.35
0008-3984,1.16
0007-070X,3.8
0004-9190,2.37
0007-196X,0.62
0005-7959,0.68
0006-3088,1.74
0004-9573,1.74
0009-6725,0.23
0006-6079,0.18
0013-4651,3.75
0013-4686,4.96
0016-2361,7.42
0014-2999,4.5
0019-9567,3.86
0020-1693,3.15
0020-6695,2.09
0011-183X,2.47
0018-8158,2.17
0013-9351,7.97
0018-9545,5.5
0012-1037,4.62
0016-5751,0.33
0014-2980,3.37
0020-1383,2.02
0015-0193,1.41
0009-9236,3.83
0012-1622,1.67
0013-9580,4.59
0010-938X,10.72
0020-1324,1.43
0019-5456,0.9
0016-6480,1.87
0010-4825,8.24
0014-2336,1.8
0017-8748,3.33
0010-3624,2.86
0014-4894,1.66
0020-7519,2.43
0019-2805,4.14
0018-9391,6.9
0020-7128,3.39
0014-4800,3.66
0014-3065,3.73
0018-2214,0.0
0019-8366,1.15
0015-3826,0.33
0020-3653,0.35
0015-5683,1.91
0010-5236,0.27
0021-8979,3.07
0021-9606,4.22
0022-1767,0.57
0021-8995,2.75
0021-8561,6.39
0021-9584,3.2
0021-972X,5.57
0021-9797,10.92
0022-2860,5.29
0022-2461,3.97
0021-8812,0.88
0022-0248,2.41
0022-247X,1.15
0022-3093,3.56
0022-1147,3.88
0022-1007,9.56
0021-9967,2.01
0022-2313,3.73
0020-7608,2.74
0022-0957,6.01
0022-1112,1.66
0020-9376,2.61
0022-1139,1.09
0022-2291,1.84
0021-8944,0.59
0022-2615,3.22
0021-891X,3.54
0021-9975,0.35
0022-2631,2.04
0022-2933,0.8
0021-9045,0.72
0021-8782,1.92
0022-0299,1.09
0021-7557,2.82
0022-1511,0.68
0022-0426,0.94
0022-2895,1.03
0022-0175,4.02
0020-9406,1.69
0020-8868,0.1
0028-0836,18.59
0027-8424,8.4
0022-5347,0.38
0028-3878,1.19
0025-7974,1.95
0022-510X,0.95
0023-852X,1.8
0024-3205,6.3
0022-3468,1.87
0028-1042,1.55
0022-3166,2.88
0026-265X,4.64
0022-3697,5.86
0023-6438,7.11
0028-2243,1.57
0022-3573,3.25
0024-3795,0.78
0026-3672,5.61
0029-5981,3.03
0031-0182,2.34
0026-0495,8.74
0025-5718,1.87
0025-3162,2.25
0022-4766,1.26
0022-4715,1.42
0028-3940,2.29
0027-5557,3.66
0023-6837,0.32
0024-4066,1.63
0028-3886,0.57
0024-4074,1.75
0030-6665,1.48
0022-4197,2.21
0029-845X,1.42
0024-1164,1.51
0025-6501,0.07
0022-4707,1.01
0028-3843,1.64
0026-4784,1.27
0026-4970,1.55
0032-1052,1.67
0034-6748,1.85
0031-3998,2.5
0032-0889,6.04
0031-8965,1.73
0032-5791,3.99
0031-5125,2.32
0032-0943,0.6
0031-6768,5.0
0032-5910,4.79
0031-9023,3.09
0031-9384,2.37
0034-8007,0.12
0031-9406,0.37
0031-1820,1.68
0034-5288,1.83
0032-9592,5.48
0031-9120,0.93
0034-7167,0.6
0034-8910,1.9
0034-6659,1.38
0034-5377,1.69
0034-8309,0.34
0033-5134,3.45
0033-2933,1.23
0034-9240,0.49
0034-8554,0.07
0034-7116,0.53
0034-7094,0.0
0034-737X,0.55
0031-0239,1.9
0034-7612,0.54
0034-7183,0.31
0034-7280,0.27
0034-7299,0.0
0034-7108,0.0
0034-740X,0.28
0031-2983,2.09
0034-7140,0.07
0034-7272,0.0
0036-8075,20.62
0039-2499,1.98
0040-6090,2.73
0038-1098,3.42
0039-6028,2.42
0039-9140,6.67
0043-1354,12.79
0042-6822,2.88
0041-1345,0.9
0043-1648,5.65
0041-0101,1.72
0035-9203,1.79
0041-1132,1.7
0041-008X,3.13
0046-8177,2.26
0044-3255,2.53
0037-9042,3.02
0046-225X,1.85
0045-2068,4.43
0039-128X,2.59
0044-3077,2.84
