instituicao,oa_id,n
Universidade de São Paulo,I17974374,1776
Universidade Federal de Uberlândia,I80850581,1130
Universidade de Uberaba,I4210158152,806
Universidade de Ribeirão Preto,I1331278255,607
Universidade Estadual Paulista (Unesp),I879563668,596
Universidade Federal de Minas Gerais,I110200422,587
Universidade Federal de São Carlos,I177909021,431
"Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro",I4210092444,425
Universidade Federal de São Paulo,I88273585,406
Universidade Federal de Goiás,I68106152,365
Universidade Estadual de Campinas (UNICAMP),I181391015,307
Universidade Federal do Rio de Janeiro,I122140584,253
Universidade Brasil,I3019322962,223
Universidade Federal de Juiz de Fora,I101100930,187
Fundação Oswaldo Cruz,I52325,180
Universidade Federal de Viçosa,I146165071,173
Universidade de Brasília,I150729083,171
Universidade Federal do Pará,I59606676,165
Universidade Federal de Santa Catarina,I4104125,155
Universidade Federal do Ceará,I243754102,147
Universidade Federal do Rio Grande do Sul,I130442723,129
Universidade Federal da Paraíba,I169045520,128
Universidade Federal de Mato Grosso do Sul,I122558511,125
Universidade Federal da Bahia,I126158947,123
Hospital de Clínicas,I4210154927,110
