grupo,sigla,ror,n
Federais de MG,UFTM,01av3m334,24
Federais de MG,UFMG,0176yjw32,134
Federais de MG,UFU,04x3wvr31,1139
Federais de MG,UFV,0409dgb37,445
Federais de MG,UFJF,04yqw9c44,74
Federais de MG,UFSJ,03vrj4p82,6
Federais de MG,UFOP,056s65p46,74
Federais de MG,UFLA,0122bmm03,56
Federais de MG,UFVJM,02gen2282,5
Federais de MG,UNIFAL,034vpja60,14
Federais de MG,UNIFEI,00235nr42,12
Mesmo porte,UFTM,01av3m334,24
Mesmo porte,UFERSA,05x2svh05,5
Mesmo porte,UNIR,02842cb31,17
Mesmo porte,UFGD,0310smc09,44
Mesmo porte,UNIPAMPA,003qt4p19,12
Mesmo porte,UFCSPA,00x0nkm13,24
Mesmo porte,UNIVASF,00devjr72,3
Mesmo porte,UFRB,057mvv518,9
Mesmo porte,UFFS,03z9wm572,13
Mesmo porte,UFRA,02j71c790,4
