tipo,area,situacao,titulo,titulares,registro,inventores,descricao,vantagens,aplicacao,observacoes
SOFTWARE,SAÚDE,,MEMOREX,"UFTM
FAPEMIG",512019002627-6,Sabrina Martins Barroso,"Software desenvolvido para Sistema Operacional Android e Windows. Pretende auxiliar na manutenção de capacidades cognitivas de planejamento, percepção visual e memória.","- Baixo custo;
- Pode ser utilizado de forma individual;
- Resultados de pesquisa apoiam sua efetividade.",O campo de aplicação abrange tanto a área industrial quanto a área acadêmica.,
SOFTWARE,GESTÃO,,Autenticador Off-line de Documentos através de Smartphones,"UFTM
IFTM",512019001505-3,"Jonas Bruno da Silva Morais
David Calhau Jorge","Permite a autenticação de um documento (textual) através de um Qr-Code inserido no documento contendo todo o seu teor compactado e criptografado e que pode ser apresentado ao usuário para comparação, permitindo sua validação quanto a adulteração indevida. Pretende coibir falsificações, leitura não autorizada de documentos, alterações indevidas e cria uma forma mais prática de verificar autenticidade de um documento.","- Utilização deste software inibe falsificação e adulteração de documentos emitidos;
- Maior segurança em relação aos seus documentos emitidos;
- Gera maior segurança na tramitação de documentos.",É utilizado por empresas e instituições que emitam documentos e estejam preocupadas em coibir falsificação ou adulteração dos mesmos.,
SOFTWARE,GESTÃO,,FISCALITO TI CONECTA,,,,,,,NÃO POSSUI PDF DISPONÍVEL; SOMENTE VÍDEO DEMONSTRATIVO
SOFTWARE,GESTÃO,,Uso da Técnica de Mineração de Dados como uma Ferramenta de Gestão da Evasão no Ensino Superior.,UFTM,512019001162-7,"Alan Lopes Melo
Julio C. de S. I. Gonçalves",O software desenvolvido será utilizado para fornecer uma listagem dos alunos com tendência à evasão para se possibilitar trabalhar esses alunos e reverter essa tendência. Com base nos dados existentes de registro e controle acadêmico foi criada uma rede neural artificial capaz de indicar os alunos com tendência a evasão.,"- Possível prevenção de evasão de alunos de instituição de ensino superior;
- Acompanhamento de alunos com tendência a evasão;
- Diminuir perda de receita referente a evasão de alunos.",Instituições de ensino superior com objetivo de identificação dos alunos com tendência a evasão no Ensino Superior.,
SOFTWARE,ENGENHARIAS,,LEISHCARE,UFTM,BR5120190000455,"Gerson dos Santos Fonseca Jr
David Calhau Jorge","É um aplicativo para smatphones com sistema operacional Android, que tem como objetivo realizar o acompanhamento de pacientes com Leishmaniose principalmente em áreas endêmicas. As principais funções são: cadastro de pacientes, cadastro de consultas, fotografia das lesões com auxílio do enquadramento, criação de imagens padronizadas, cálculo de escore clínico e compartilhamento de informações.","- Padronização das fotografias, visando acompanhamento das lesões;
- Cálculo simples e rápido do escore clínico de Leishmaniose visceral;
- Manual técnico de áreas endêmicas e sobre doença;
- Cadastro simplificado, organizado dos pacientes possibilitando compartilhamento de informações.","É utilizado prioritariamente na área da saúde, por profissionais que necessitam trocar informações com especialistas, não presentes no local da endemia.",
SOFTWARE,ENGENHARIAS,,EletrocardioDroid,UFTM,BR 51 2018 000308-7,"João Paulo Folador
David Calhau Jorge","O software foi desenvolvido como aplicação (App) para dispositivos móveis. Possui uma área de processamento de imagens, onde o usuário faz amostragem de uma imagem a partir do telefone sob um exame de eletrocardiograma (ECG) impresso. No receptor esse mesmo sinal é reconstruído, sendo possível a análise do profissional habilitado e orientação para o atendimento mais rápido a um problema que necessite de urgência.","- Capaz de filtrar e compactar o sinal, previamente ao envio, caso o paciente esteja sofrendo de arritmia cardíaca;
- Capacidade de transmissão de dados clínicos a distância por meio de SMS;
- Profissional que realiza o exame, pode estar distante de um médico responsável;
- Agilizar e facilitar atendimento em áreas carentes.",Destinado para a área da saúde (cardiologia).,
SOFTWARE,ENGENHARIAS,,DUNAMATH,UFTM,,,,,,NÃO POSSUI PDF DISPONÍVEL; SOMENTE VÍDEO DEMONSTRATIVO
SOFTWARE,ENGENHARIAS,,Navegador Termovisão,UFTM,BR 51 2020 000228-5,"Willian Baunier deZelo
David Calhau Jorge
Vinicius Abrão da Silva Marques","O software foi desenvolvido em python utilizando a placa de controle Raspberry Pi, para navegação manual e autônoma nos mais diversos cenários, podendo ser aplicado em ambientes hostis ao ser humano. O software ainda conta com uma visão térmica que foi desenvolvida para utilização de hardware de baixo custo para diminuir os custos de produção para aplicação. O software possui uma interface intuitiva, com comunicação por wi-fi, sendo mostrada algumas informações entre o explorador e a central.","- Pode ser usado em uma pré-avaliação de ambientes perigosos (incêndios, lugares com gases nocivos, confinamentos, entre outros);
- Viabiliza a economia de recursos na construção de protótipos;
- Possui interface simples e intuitiva","Exploração e avaliação de ambientes e equipamentos industriais, utilizado pelo corpo de bombeiros em situações de incêndios.",
SOFTWARE,ENGENHARIAS,,PERT - Programa de estruturas reticulares total,UFTM,BR 51 2017 000585-0,"Julio Augusto Borges
Luciano Gobo S. Leite","O software foi desenvolvido em C++ para solucionar o problema do Cálculo de esforços e deslocamentos em estruturas de barras reticulares (vigas, pórtico plano, treliça plana, grelha, pórtico espacial e treliça espacial). O cálculo é executado segundo o método de análise matricial. O software apresenta entrada e saídas gráficas, gerando diagramas de esforços, apresentando os resultados em tabelas e a vista da estrutura deformada. A entrada é toda visual, sendo os dados inseridos e o desenho gerado em seguida.","- O programa é preciso;
- Software amigável, fácil de se utilizar;
- Visualiza e imprime todos os resultados.",Cálculo de esforços para o dimensionamento de estruturas de engenharia civil.,
SOFTWARE,ENGENHARIAS,,TRANSMISSOR DE TEMPERATURA MULTICANAL COM COMUNICAÇÃO RS485 - MODBUS - 8 CANAIS,UFTM,BR512019000047-1,"Antônio Carlos Lemos Jr
Mário Sérgio da Luz",O software desenvolvido será utilizado para configurar e monitorar os parâmetros de uma placa eletrônica projetada para mensurar a força eletromotriz de termopares comerciais. O problema que o Software pretende solucionar é permitir que os usuários consigam configurar os parâmetros e monitorar os dados mensurados pela placa eletrônica de forma simples e intuitiva.,"- Configuração de forma rápida e exata dos parâmetros que serão utilizados para mensurar as temperaturas e realizar controle discreto delas; 
- Pode ser utilizado em computador que tenha pelo menos uma porta USB, o software pode ser utilizado em uma gama muito grande de dispositivos. ",O público alvo para o software são pessoas ou empresas que necessitem mensurar temperatura e realizar controle discreto utilizando valores previamente configurados para temperaturas de controle. ,
