id,nome,works,x,y,grau,betw,comunidade,grupo,topico
i|d|bertulucci rocha rodrigues,Denise Bertulucci Rocha Rodrigues,61,0.2588,0.2152,149,0.0006,1,Epidemiology,Trypanosoma species research and implications
i|a|claudia granato,Ana Cláudia Granato,56,0.1376,-0.8512,49,0.0,2,Materials Chemistry,Metal complexes synthesis and properties
i|m|s da luz,M. S. da Luz,65,-0.0932,-0.2266,36,0.0288,2,Materials Chemistry,Metal complexes synthesis and properties
i|c|gomez hernandez,César Gómez‐Hernández,32,0.0419,0.3794,48,0.0086,4,Epidemiology,Trypanosoma species research and implications
f|dalmo|correia,Dalmo Correia,90,0.2469,0.3825,93,0.013,4,Epidemiology,Trypanosoma species research and implications
i|l|fernanda rodrigues martinho fernandes,Luciane Fernanda Rodrigues Martinho Fernandes,63,0.5286,-0.2596,33,0.0097,6,Neurology,Stroke Rehabilitation and Recovery
i|m|leon silva vergara,Mário León Silva-Vergara,111,0.2022,0.4056,137,0.017,4,Epidemiology,Trypanosoma species research and implications
i|l|resende rodrigues,Leiner Resende Rodriguês,56,-0.3079,-0.3007,64,0.0291,8,General Health Professions,"Health, Nursing, Elderly Care"
i|l|euripedes andrade silva,Leonardo Eurípedes Andrade-Silva,33,0.1299,0.3369,92,0.0078,4,Epidemiology,Trypanosoma species research and implications
i|m|de lucca moreira gomes,Marcos de Lucca Moreira Gomes,35,-0.2689,0.4376,22,0.0118,11,Reproductive Medicine,Sperm and Testicular Function
i|d|fernando bovolenta ovigli,Daniel Fernando Bovolenta Ovigli,48,0.1749,-0.6788,20,0.0001,10,Education,Science and Education Research
i|m|sousa pegorari,Maycon Sousa Pegorari,34,0.0402,-0.3904,43,0.0436,8,General Health Professions,"Health, Nursing, Elderly Care"
i|g|de araujo pereira,Gilberto de Araújo Pereira,83,-0.1617,0.0115,101,0.0658,5,General Health Professions,"Health, Nursing, Elderly Care"
i|w|francisco rodrigues,Wellington Francisco Rodrigues,78,0.0405,0.1366,152,0.0453,1,Epidemiology,Trypanosoma species research and implications
i|e|lages silva,Eliane Lages-Silva,67,0.0978,0.4037,120,0.008,4,Epidemiology,Trypanosoma species research and implications
i|m|torreglosa ruiz,Mariângela Torreglosa Ruiz,124,-0.3686,-0.0393,146,0.0004,0,General Health Professions,"Health, Nursing, Elderly Care"
i|g|fiori marchiori,Gianna Fiori Marchiori,33,-0.333,-0.2526,37,0.0,8,General Health Professions,"Health, Nursing, Elderly Care"
f|sheilla|tribess,Sheilla Tribess,65,-0.1595,0.4618,96,0.0,7,Physiology,Physical Activity and Health
i|r|junio de oliveira,Ronaldo Junio de Oliveira,55,0.4801,-0.521,9,0.0,2,Materials Chemistry,Metal complexes synthesis and properties
i|h|moraes souza,Hélio Moraes‐Souza,99,-0.0986,0.3276,136,0.0299,5,General Health Professions,"Health, Nursing, Elderly Care"
