issn,sjr,quartile,title
15424863,104.065,Q1,Ca-A Cancer Journal for Clinicians
00079235,104.065,Q1,Ca-A Cancer Journal for Clinicians
14710072,35.568,Q1,Nature Reviews Molecular Cell Biology
14710080,35.568,Q1,Nature Reviews Molecular Cell Biology
00335533,33.069,Q1,Quarterly Journal of Economics
15314650,33.069,Q1,Quarterly Journal of Economics
14741784,32.577,Q1,Nature Reviews Drug Discovery
14741776,32.577,Q1,Nature Reviews Drug Discovery
17594782,28.076,Q1,Nature Reviews Clinical Oncology
17594774,28.076,Q1,Nature Reviews Clinical Oncology
10575987,27.974,Q1,MMWR Recommendations and Reports
15458601,27.974,Q1,MMWR Recommendations and Reports
15356108,26.632,Q1,Cancer Cell
18783686,26.632,Q1,Cancer Cell
00928674,24.592,Q1,Cell
10974172,24.592,Q1,Cell
00346527,23.622,Q1,Review of Economic Studies
1467937X,23.622,Q1,Review of Economic Studies
19447981,23.489,Q1,American Economic Review
00028282,23.489,Q1,American Economic Review
15461696,23.109,Q1,Nature Biotechnology
10870156,23.109,Q1,Nature Biotechnology
1474175X,22.814,Q1,Nature Reviews Cancer
14741768,22.814,Q1,Nature Reviews Cancer
00221082,22.27,Q1,Journal of Finance
15406261,22.27,Q1,Journal of Finance
15698041,21.715,Q1,Annals of Oncology
09237534,21.715,Q1,Annals of Oncology
20588437,20.801,Q1,Nature Reviews Materials
20515545,20.787,Q1,World Psychiatry
17238617,20.787,Q1,World Psychiatry
20587546,20.769,Q1,Nature Energy
14710056,20.403,Q1,Nature Reviews Genetics
14710064,20.403,Q1,Nature Reviews Genetics
00129682,19.935,Q1,Econometrica
14680262,19.935,Q1,Econometrica
14764687,19.713,Q1,Nature
00280836,19.713,Q1,Nature
0304405X,18.748,Q1,Journal of Financial Economics
17401534,18.406,Q1,Nature Reviews Microbiology
17401526,18.406,Q1,Nature Reviews Microbiology
00284793,18.397,Q1,New England Journal of Medicine
15334406,18.397,Q1,New England Journal of Medicine
19411383,17.768,Q1,Annual Review of Economics
19411391,17.768,Q1,Annual Review of Economics
20593635,17.74,Q1,Signal Transduction and Targeted Therapy
20959907,17.74,Q1,Signal Transduction and Targeted Therapy
14741741,17.646,Q1,Nature Reviews Immunology
14741733,17.646,Q1,Nature Reviews Immunology
1546170X,17.496,Q1,Nature Medicine
10788956,17.496,Q1,Nature Medicine
14657368,17.406,Q1,Review of Financial Studies
08939454,17.406,Q1,Review of Financial Studies
2662138X,17.081,Q1,Nature Reviews Earth and Environment
15206890,16.918,Q1,Chemical Reviews
00092665,16.918,Q1,Chemical Reviews
00220515,16.872,Q1,Journal of Economic Literature
23270608,16.778,Q1,Annual Review of Organizational Psychology and Organizational Behavior
10974180,16.481,Q1,Immunity
