topico,n
"Health, Nursing, Elderly Care",440
Trypanosoma species research and implications,293
Education Pedagogy and Practices,271
Science and Education Research,161
Linguistics and Education Research,148
Psychology and Mental Health,144
Education and Digital Technologies,142
Environmental Sustainability and Education,141
"Youth, Drugs, and Violence",139
Occupational Health and Burnout,119
Sports Performance and Training,118
Maternal and Neonatal Healthcare,117
Health Education and Validation,104
Business and Management Studies,103
Physical Education and Gymnastics,96
Healthcare during COVID-19 Pandemic,95
Physical Education and Sports Studies,92
Palliative and Oncologic Care,90
Women's cancer prevention and management,85
Fungal Infections and Studies,79
Research on Leishmaniasis Studies,76
Physical Activity and Health,71
Agricultural and Food Sciences,71
Nutrition and Health in Aging,65
Education and Public Policy,65
Breastfeeding Practices and Influences,62
Public Health in Brazil,61
Soil Management and Crop Yield,58
Particle physics theoretical and experimental studies,57
Education during COVID-19 pandemic,57
