works_uftm,citacoes_uftm,orcid,autor,h_index,i10
67,4149,https://orcid.org/0000-0002-5896-9274,Eliane Lages Silva,20,32
216,3858,https://orcid.org/0000-0001-8706-4223,Virmondes Rodrigues,34,130
178,3696,https://orcid.org/0000-0002-8594-7636,Marlene Antônia dos Reis,26,53
78,2979,,Áluízio Prata,31,91
110,2780,https://orcid.org/0000-0003-1020-2119,Mario León Silva Vergara,23,43
168,2742,https://orcid.org/0000-0003-4014-1345,Eddie Fernando Cândido Murta,32,114
178,2438,https://orcid.org/0000-0002-2966-7621,Marcos Silva,33,129
192,2277,https://orcid.org/0000-0001-9565-0476,Darlene Mara dos Santos Tavares,25,82
87,2170,https://orcid.org/0000-0002-9084-7189,Sheila Jorge Adad,27,72
160,2084,https://orcid.org/0000-0003-2211-7333,Carlo José Freire Oliveira,28,78
156,2042,https://orcid.org/0000-0002-6109-0658,Gustavo Ribeiro da Mota,30,61
110,2036,https://orcid.org/0000-0002-2083-4104,Jeffer Eidi Sasaki,30,74
90,2015,https://orcid.org/0000-0002-2174-5058,Dalmo Correia,25,56
120,1791,https://orcid.org/0000-0001-7299-3724,Siomar de Castro Soares,31,91
100,1459,https://orcid.org/0000-0002-8673-7788,Juliana Reis Machado,20,39
95,1441,https://orcid.org/0000-0003-2124-3450,Rogério Valentim Gelamo,24,52
35,1403,https://orcid.org/0000-0002-9454-2403,Lauro Osiro,15,18
156,1345,https://orcid.org/0000-0003-2749-2802,Maria Helena Barbosa,22,45
126,1326,https://orcid.org/0000-0001-9431-7727,Vicente de Paula Antunes Teixeira,17,34
99,1236,https://orcid.org/0000-0001-7602-1789,Jair Sindra Virtuoso Júnior,22,39
61,1223,https://orcid.org/0000-0003-4003-542X,Denise Bertulucci Rocha Rodrigues,21,45
101,1223,https://orcid.org/0000-0002-6258-2646,Fábio Lera Orsatti,23,46
160,1204,https://orcid.org/0000-0001-6281-3371,Fabio Scorsolini‐Comin,25,82
83,1193,https://orcid.org/0000-0002-9149-6368,Gilberto De Araújo Pereira,19,36
37,1184,https://orcid.org/0000-0002-9342-0850,Beatriz Martins Tavares Murta,18,24
82,1138,https://orcid.org/0000-0001-8743-0123,Vanderlei José Haas,29,61
85,1096,https://orcid.org/0000-0003-2161-2404,Rosana Rosa Miranda Côrrea,15,23
49,1057,https://orcid.org/0000-0001-6548-4243,Acir Mário Karwoski,8,7
28,1033,https://orcid.org/0000-0002-1999-4338,Luís Carlos de Morais,15,20
98,1016,https://orcid.org/0000-0001-8049-348X,Hélio Moraes‐Souza,18,38
68,983,https://orcid.org/0000-0002-0036-5750,Geoffroy Roger Pointer Malpass,29,44
65,975,https://orcid.org/0000-0001-9421-1519,Sheilla Tribess,19,30
65,972,https://orcid.org/0000-0003-4699-9481,Pedro I. S. Maia,25,48
62,945,https://orcid.org/0000-0002-2241-5966,Renata Margarida Etchebehere,16,30
77,939,https://orcid.org/0000-0003-0842-8805,Márcia Antoniazi Michelin,19,42
61,922,https://orcid.org/0000-0003-2268-3589,Joilson Meneguci,15,24
38,921,https://orcid.org/0000-0002-6035-8392,Kennio Ferreira‐Paim,22,30
49,901,https://orcid.org/0000-0001-9837-3216,Jéferson Aparecido Moreto,20,34
21,898,https://orcid.org/0000-0002-2176-7177,Rafaela C. Sanfelice,18,26
30,896,https://orcid.org/0000-0002-2604-6504,Beatriz Gaydeczka,5,3
48,886,https://orcid.org/0000-0003-1950-1895,Javier Emilio Lazo-Chica,21,33
13,882,https://orcid.org/0000-0002-6156-3144,Cristina Ribeiro de Barros Cardoso,36,73
43,859,https://orcid.org/0000-0001-5913-3703,Alexandre de Paula Rogério,22,32
58,850,https://orcid.org/0000-0002-4356-4557,Lúcia Marina Scatena,22,41
93,848,https://orcid.org/0000-0001-7764-032X,Elizabeth Barichello,14,22
115,847,https://orcid.org/0000-0002-6914-7225,Gustavo José Luvizutto,21,43
48,801,https://orcid.org/0000-0002-2754-4847,Thiago da Silva Marinho,22,39
42,790,https://orcid.org/0000-0001-9121-3076,José R. Siqueira,24,38
21,758,https://orcid.org/0000-0002-7715-2534,Moacir Marocolo,28,60
28,754,,Vicente P. A. Teixeira,18,25
